Unique id,channel_name,category,Sub-category,Customer Remarks,Order_id,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score,response_time_minutes,response_bucket
7e9ae164-6a8b-4521-a2d4-58f7c9fff13f,Outcall,Product Queries,Life Insurance,,c27c9bb4-fa36-4140-9f1f-21009254ffdb,,2023-08-01 11:13:00,2023-08-01 11:47:00,01-Aug-23,,,,,Richard Buchanan,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,5.0,34.0,30-60 min
b07ec1b0-f376-43b6-86df-ec03da3b2e16,Outcall,Product Queries,Product Specific Information,,d406b0c7-ce17-4654-b9de-f08d421254bd,,2023-08-01 12:52:00,2023-08-01 12:54:00,01-Aug-23,,,,,Vicki Collins,Dylan Kim,Michael Lee,>90,Morning,5.0,2.0,0-5 min
200814dd-27c7-4149-ba2b-bd3af3092880,Inbound,Order Related,Installation/demo,,c273368d-b961-44cb-beaf-62d6fd6c00d5,,2023-08-01 20:16:00,2023-08-01 20:38:00,01-Aug-23,,,,,Duane Norman,Jackson Park,William Kim,On Job Training,Evening,5.0,22.0,15-30 min
eb0d3e53-c1ca-42d3-8486-e42c8d622135,Inbound,Returns,Reverse Pickup Enquiry,,5aed0059-55a4-4ec6-bb54-97942092020a,,2023-08-01 20:56:00,2023-08-01 21:16:00,01-Aug-23,,,,,Patrick Flores,Olivia Wang,John Smith,>90,Evening,5.0,20.0,15-30 min
ba903143-1e54-406c-b969-46c52f92e5df,Inbound,Cancellation,Not Needed,,e8bed5a9-6933-4aff-9dc6-ccefd7dcde59,,2023-08-01 10:30:00,2023-08-01 10:32:00,01-Aug-23,,,,,Christopher Sanchez,Austin Johnson,Michael Lee,0-30,Morning,5.0,2.0,0-5 min
1cfde5b9-6112-44fc-8f3b-892196137a62,Email,Returns,Fraudulent User,,a2938961-2833-45f1-83d6-678d9555c603,,2023-08-01 15:13:00,2023-08-01 18:39:00,01-Aug-23,,,,,Desiree Newton,Emma Park,John Smith,0-30,Morning,5.0,206.0,3+ hrs
11a3ffd8-1d6b-4806-b198-c60b5934c9bc,Outcall,Product Queries,Product Specific Information,,bfcb562b-9a2f-4cca-aa79-fd4e2952f901,,2023-08-01 15:31:00,2023-08-01 23:52:00,01-Aug-23,,,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5.0,501.0,3+ hrs
372b51a5-fa19-4a31-a4b8-a21de117d75e,Inbound,Returns,Exchange / Replacement,Very good,88537e0b-5ffa-43f9-bbe2-fe57a0f4e4ae,,2023-08-01 16:17:00,2023-08-01 16:23:00,01-Aug-23,,,,,Laura Smith,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,5.0,6.0,5-15 min
6e4413db-4e16-42fc-ac92-2f402e3df03c,Inbound,Returns,Missing,Shopzilla app and it's all coustomer care services is very good service provided all time,e6be9713-13c3-493c-8a91-2137cbbfa7e6,,2023-08-01 21:03:00,2023-08-01 21:07:00,01-Aug-23,,,,,David Smith,Nathan Patel,John Smith,>90,Split,5.0,4.0,0-5 min
b0a65350-64a5-4603-8b9a-a24a4a145d08,Inbound,Shopzilla Related,General Enquiry,,c7caa804-2525-499e-b202-4c781cb68974,,2023-08-01 23:31:00,2023-08-01 23:36:00,01-Aug-23,,,,,Tabitha Ayala,Amelia Tanaka,Michael Lee,31-60,Evening,5.0,5.0,0-5 min
74a2cbbf-497e-4177-b30b-483f99effb13,Outcall,Returns,Return request,,5862d1a1-2081-4e28-ad0a-cec43380ac7d,,2023-08-02 18:14:00,2023-08-02 18:16:00,02-Aug-23,,,,,Carla Morgan,Nathan Patel,Emily Chen,0-30,Evening,4.0,2.0,0-5 min
4c28acf4-2ea4-4be8-b8f1-113e676fc8b7,Inbound,Order Related,Delayed,Very bad,55bbace3-eb2e-4f67-aacb-4f8ee8512f75,19-07-2023 23:50,2023-08-02 10:44:00,2023-08-02 11:14:00,02-Aug-23,NAGPUR,LifeStyle,434.0,,Stanley Hogan,Harper Wong,Emily Chen,>90,Split,1.0,30.0,15-30 min
e7ec72bb-65e9-4464-9c2b-8ce6b0e82a28,Inbound,Shopzilla Related,General Enquiry,,c7d5eef8-d239-474c-8d24-542db2923b3c,,2023-08-01 10:09:00,2023-08-01 10:12:00,01-Aug-23,,,,,Timothy Scott,Zoe Yamamoto,William Kim,On Job Training,Morning,4.0,3.0,0-5 min
68c596f2-4130-42f9-a140-b336261b1629,Inbound,Shopzilla Related,General Enquiry,,c1e10375-7426-4b2a-aca6-17dc6bc9c7a3,,2023-08-01 10:15:00,2023-08-01 11:21:00,01-Aug-23,,,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,4.0,66.0,1-3 hrs
6b966653-0900-4d58-8b38-c17cfbdaf000,Inbound,Returns,Reverse Pickup Enquiry,,9e0d7d55-d012-42f7-8e21-634942419386,,2023-08-02 11:26:00,2023-08-02 11:44:00,02-Aug-23,,,,,Mark Wilson,Scarlett Chen,John Smith,0-30,Morning,5.0,18.0,15-30 min
130dfefe-1d77-47f9-b759-546f24b6b909,Inbound,Returns,Missing,,8153c646-4940-406f-992c-952ed08e9af8,,2023-08-02 19:56:00,2023-08-02 20:06:00,02-Aug-23,,,,,Mark Black,Sophia Sato,John Smith,>90,Afternoon,5.0,10.0,5-15 min
4cc4df74-fcd3-413a-920d-ca3ad2dd0904,Inbound,Returns,Service Centres Related,,4245d6df-49c6-491a-8724-125c4df82e75,06-05-2023 21:41,2023-08-01 09:01:00,2023-08-01 09:03:00,01-Aug-23,RANCHI,Electronics,1299.0,,Amy Mendez,Sophia Sato,John Smith,0-30,Morning,5.0,2.0,0-5 min
c54459b3-ffb3-4ffa-a338-6fd179beb6b1,Inbound,Order Related,Installation/demo,Something ,0cdaa1f1-02f2-40ec-9134-7cd0f92a6b3e,,2023-08-01 10:00:00,2023-08-01 10:04:00,01-Aug-23,,,,,Jennifer May,Zoe Yamamoto,William Kim,On Job Training,Morning,3.0,4.0,0-5 min
deccfb1d-05d4-40b8-8371-15282c91bacb,Inbound,Cancellation,Not Needed,,3f16b782-27cf-4831-b542-cd8bd60c0385,,2023-08-01 21:05:00,2023-08-01 21:07:00,01-Aug-23,,,,,Ryan Thompson,Olivia Wang,Emily Chen,31-60,Evening,5.0,2.0,0-5 min
6e51734e-9627-4a12-8062-877c3638627d,Inbound,Order Related,Installation/demo,All good,8a1ae638-4d8c-4a5e-bf1b-eb74f881fc3d,18-07-2023 12:20,2023-08-02 20:03:00,2023-08-02 20:05:00,02-Aug-23,NAGPUR,Electronics,15990.0,,David Butler,Olivia Wang,Emily Chen,31-60,Evening,5.0,2.0,0-5 min
2376e4ae-aafb-4320-9f45-e402f943d264,Inbound,Returns,Reverse Pickup Enquiry,,96bd06f2-beb2-4462-834f-b6b77aae8c4e,,2023-08-01 22:31:00,2023-08-01 22:59:00,01-Aug-23,,,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,5.0,28.0,15-30 min
00df431a-b184-417a-ae49-c4feb6bd00bb,Inbound,Returns,Return request,Good ,91ba71bf-f229-4544-9dc6-be3b6c2e51d2,,2023-08-02 20:01:00,2023-08-02 20:16:00,02-Aug-23,,,,,Jacob Hendricks,Logan Lee,Emily Chen,61-90,Evening,5.0,15.0,5-15 min
